codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;salaSeparada;predio;lotacao;horarioSeparado;percDisciplina;percOcupacaoReal;percOcupacaoTotal
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;S4;UAC;130;4T2;0;0;0
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;S4;UAC;130;4T3;0;0;0
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;I3;UAC;60;6T2;0;0;0
FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;I3;UAC;60;6T3;0;0;0
